NAME,DISTRICT,ADDRESS,ZIPCODE,WEBSITE,LAT,LNG
Cobbs Creek Golf Club (Olde),8,7900 LANSDOWNE AVE,19151,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=3d4e7de3-29f4-488d-ba9e-649c51ef18d7,39.96809716,-75.2651117014
Franklin D. Rooselvelt (FDR) Golf Club,7,1954 PATTISON AVE,19145,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=cbbb8915-ec24-4c26-9eac-6f657935fd56,39.9030560074,-75.18827077
Juniata Golf Club,3,1391 E CAYUGA ST,19124,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=05337e26-ca6b-445e-8e0a-a6575992f0ce,40.0169314281,-75.1025062365
Walnut Lane Golf Club,4,700 WALNUT LA,19128,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=a5402e80-ef6c-4c0c-9689-6a943cfe98a0,40.029377558,-75.2023517876
John F. Byrne Golf Club,1,9550 LEON ST,19114,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=3e588d34-715e-412a-956e-1ccae97114e6,40.0613473912,-75.0013316647
Burholme Golf Family & Entertainment Center,1,401 W COTTMAN AVE,19111,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=6845b445-484a-4b4f-bf6b-28fe5469fdcf,40.06814501,-75.0925191509
Cobbs Creek Driving Range & Sports Center,8,7900 CITY AVE,19151,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1,39.9737922073,-75.2785557114
Strawberry Green Driving Range,5,3300 RESERVOIR DR,19121,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=37e7f8b6-1ab3-4514-b157-c66eac711bfb,39.9801714512,-75.1901817962
Sedgley Woods Disc Golf Course,5,3400 RESERVOIR DR,19121,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=1d0cd90e-fdc8-438b-b1cd-2d44737cc6ae,39.9812478697,-75.1926468498
Philly Mini Golf at Franklin Square,5,200 N 06TH ST,19106,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=e647fefc-6d5e-4f7b-a056-0c7e03c13c1a,39.9557098119,-75.1503793393
Cobbs Creek Golf Club (Karakung),8,7900 LANSDOWNE AVE,19151,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=f03a288a-f7ae-44d5-8aa9-01e605d652a9,39.9685336448,-75.2652768408
City Line Sports Center,8,7900 CITY LINE AVE,19151,http://www.phila.gov/ParksandRecreation/placestogo/facilities/Pages/golffacilities.aspx#page=1&itemId=383051b5-6ee2-4aba-ac17-6a709284c1ad,39.9761408459,-75.2775415246
