NAME,DISTRICT,ADDRESS,ZIPCODE,LAT,LNG
Wissahickon Valley Park,4, ,19128,40.0522410513,-75.2135100354
West Fairmount Park,5, ,19131,39.9893027587,-75.2070108987
Pennypack Creek Park,1, ,19152,40.067702797,-75.0469571442
Cobbs Creek Park,8, , ,39.9627139255,-75.2575391338
East Fairmount Park,5, ,19121,39.9840150708,-75.1921347467
Tacony Creek Park,3, ,19120,40.0263158268,-75.1078209745
Pennypack on the Delaware,1,8201 STATE RD,19136,40.0310511666,-75.0102255838
Franklin D. Roosevelt Park,7,3500 S BROAD ST,19145,39.9014160735,-75.1810750897
Morris Park,8,6600 SHERWOOD RD,19151,39.9792668177,-75.2593283263
Walton Run,1,11000 ACADEMY RD,19154,40.0866324439,-74.9907954349
Hunting Park,3,1101 W HUNTING PARK AVE,19140,40.016840113,-75.1436772724
Poquessing Creek Park,1,3601 ACADEMY RD,19154,40.0983559303,-74.9685017601
Fluehr Park,1,4800 GRANT AVE,19114,40.0546356194,-74.9897547079
Burholme Park,1,7370 CENTRAL AVE,19111,40.0687536982,-75.0919419343
Wister's Woods Park,4,432-60 E WISTER ST,19141,40.0340498079,-75.1556670943
Wooden Bridge Run,1,2855 WILLITS RD,19114,40.0647994052,-75.0164035641
Bartram's Garden,8,5400 LINDBERGH BLV,19143,39.9322026955,-75.2114593065
Clifford Park,4,6331 WISSAHICKON AVE,19144,40.0348402932,-75.1896361918
Carpenter's Woods Park,4,7045-99 GREENE ST,19119,40.0460402941,-75.2010478533
Fernhill Park,4,4600 MORRIS ST,19144,40.0186568326,-75.1686032775
Manayunk Canal,4,4500 MAIN ST,19127,40.0344262976,-75.2377040851
Poquessing Creek Park,1,3125 MECHANICSVILLE RD,19154,40.1140129911,-74.9645484871
Carroll Park Cobbs Creek,8,7800 CITY AVE,19151,39.9775951427,-75.2816417711
Awbury Park,4,6101 ARDLEIGH ST,19138,40.0536466115,-75.1631870467
Holme Crispin Park,1,3065 HOLME AVE,19136,40.0573422984,-75.0221220712
Schuylkill River Park,5,300 S 26TH ST,19103,39.9559623393,-75.1806015908
Fisher Park,3,6000 N 05TH ST,19120,40.0433523595,-75.1317426039
Disston Park,2,6501-6951 KEYSTONE ST,19135,40.0215090311,-75.0434308972
Poquessing Creek Park,1,1217 STEVENS RD,19116,40.1287480693,-74.9941537576
Junod Park,1,3102 MECHANICSVILLE RD,19154,40.1036765697,-74.9692300674
Eastwick Regional Park,8,80TH ST & MARS PL,19153,39.9052897429,-75.2513876639
Poquessing Creek Park,1,4341 WHITING RD,19154,40.078447399,-74.96825196
29th & Chalmers Park,6,3001 W LEHIGH AVE,19132,39.9998185918,-75.1793791435
Gorgas Park,4,6300 RIDGE AVE,19128,40.0360011783,-75.2223968396
Marconi Plaza,7,2700 S BROAD ST,19148,39.9154764273,-75.1713652901
Fort Mifflin,8,4800 FORT MIFFLIN RD,19153,39.8757142166,-75.2125023508
Poquessing Creek Park,1,9900-99 HEGERMAN ST,19114,40.0602628593,-74.9822848598
Pastorius Park,4,200 W HARTWELL LN,19118,40.0709718009,-75.2050399879
Poquessing Creek Park,1,130 DIMARCO DR,19154,40.0728977635,-74.9731619196
Gray's Ferry Crescent,7,1101 S 34TH ST,19146,39.941823462,-75.2016822697
Benjamin Franklin Parkway,5,BENJ FRANKLIN PKY,19130,39.9629459813,-75.1769468317
Poquessing Creek Park,1,10501 KNIGHTS RD,19154,40.0669435688,-74.9811207094
Wakefield Park,4,5300 N 16TH ST,19141,40.0330656719,-75.1503349914
Vine Street Park,5,VINE STREET EXP,19103,39.957123029,-75.1505489284
Clarence H Clark Park,8,4301 CHESTER AVE,19104,39.947766355,-75.2097916004
Rittenhouse Town,4,5800 WISSAHICKON AVE,19144,40.0296642948,-75.1900068643
Eastwick Park,8,7401 LINDBERGH BLV,19153,39.9062583926,-75.2371535724
Germany Hill,4,4849 SMICK ST,19128,40.0346702439,-75.2315955276
Reyburn Park,6,1950 W LEHIGH AVE,19132,39.9944410149,-75.165751199
Vernon Park,4,5710-18 GERMANTOWN AVE,19144,40.0357465395,-75.1766270435
Penn Treaty Park,2,1201-1301 BEACH ST,19125,39.9661660413,-75.1286162641
Wingohocking Park,3,4101 OLD YORK RD,19140,40.0205069225,-75.1455134011
Kemble Park,4,5641 OGONTZ AVE,19141,40.0399779227,-75.1496765577
Bradford Park,1,2400 FAUNCE ST,19152,40.0501172266,-75.0540247193
