ZIPCODE,ADDRESS,FACILITY,LINK,FEATURE,LAT,LNG
19141.0,851 W OLNEY AVE,Cherashore Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=720,Pool,40.0380123992,-75.1363771217
19120.0,200-64 E OLNEY AVE,Ziehler Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=857,Pool,40.0347000664,-75.118781891
19128.0,201 FOUNTAIN ST,Hillside Recration Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=762,Pool,40.0334896965,-75.2294734205
19135.0,4131 UNRUH AVE,Vogt Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=846,Pool,40.0290977316,-75.0493255569
19128.0,5822-24 RIDGE AVE,Kendrick Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=771,Pool,40.0294522673,-75.2112103102
19120.0,231-37 E WYOMING AVE,Feltonville Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=736,Pool,40.0219041423,-75.120958605
19124.0,1010 ARROTT ST,Simpson Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=835,Pool,40.0212281358,-75.0925919331
19135.0,6201 TORRESDALE AVE,American Legion Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=703,Pool,40.0187641026,-75.0535971782
19140.0,1101 W HUNTING PARK AVE,Hunting Park Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=863,Pool,40.0172268256,-75.1442318351
19140.0,W HUNTING PARK & GERMANTOWN AVE,Marcus Foster,http://www.phila.gov/parksandrecreation/findafacility/,Pool,40.0170624101,-75.1540553292
19124.0,1501 E BRISTOL ST,Piccoli Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=813,Pool,40.0120257784,-75.0966970234
19140.0,113-23 W ONTARIO ST,Schmidt Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=828,Pool,40.0019005049,-75.1294118527
19134.0,1099 E TIOGA ST,Scanlon Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/,Pool,40.0009060596,-75.108663346
19132.0,2901 N 29TH ST,"Shuler, James Allen Playground",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=833,Pool,40.0022984005,-75.1749015265
19134.0,400-64 E ONTARIO ST,Mcveigh Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=792,Pool,40.0005484359,-75.1220265571
19137.0,4625 RICHMOND ST,Bridesburg Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=715,Pool,39.9992699531,-75.0676724398
19134.0,2136 CASTOR AVE,Heitzman Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=760,Pool,39.9980016858,-75.0979404744
19133.0,1149 W CAMBRIA ST,12th & Cambria Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=859,Pool,39.996750393,-75.1487240957
19132.0,2020-50 W LEHIGH AVE,"Moore, Cecil B Recreation Center",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=796,Pool,39.9949833053,-75.1656256648
19115.0,800 BARTLETT ST,Lackman Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=774,Pool,40.100750335,-75.0337384699
19111.0,601 BORBECK AVE,Fox Chase Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=745,Pool,40.0737265584,-75.0822403464
19114.0,3694 CHESTERFIELD RD,Mitchell Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=794,Pool,40.0680936621,-74.9914190008
19111.0,1400 COTTMAN AVE,Jardel Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=768,Pool,40.0561680423,-75.0765521597
19114.0,9050 TORRESDALE AVE,Jacobs Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=767,Pool,40.0515351517,-75.0026520622
19138.0,6101 ARDLEIGH ST,Awbury Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=708,Pool,40.0534165806,-75.1627583319
19126.0,1610 CHELTEN AVE,Morris Estate Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=797,Pool,40.0505099786,-75.1467460384
19111.0,6000 RISING SUN AVE,Lawncrest Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=777,Pool,40.0457424316,-75.1011799746
19136.0,7437 ROWLAND AVE,Lincoln Pool,http://www.phila.gov/parksandrecreation/findafacility/,Pool,40.0413850645,-75.0430148113
19138.0,2109 W CHEW AVE,Belfield Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=712,Pool,40.0416701072,-75.1563172297
19149.0,1601 HELLERMAN ST,"Myers, Max Playground",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=803,Pool,40.0383006095,-75.0703708452
19148.0,300 SHUNK ST,Murphy Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=801,Pool,39.9155802878,-75.1532217865
19145.0,1800 JOHNSTON ST,Barry Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=711,Pool,39.9158079996,-75.1790478746
19142.0,6801 GROVERS AVE,"Finnegan, James Playground",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=740,Pool,39.9157106592,-75.2303584083
19134.0,2501 E TIOGA ST,Samuel Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=825,Pool,39.9905052535,-75.097384359
19133.0,2502-12 N HOWARD ST,Waterloo Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=848,Pool,39.9883190027,-75.1328216865
19121.0,2102 N 33RD ST,Mander Playground,http://www.phila.gov/parksandrecreation/findafacility/,Pool,39.9888981786,-75.1875442538
19121.0,2501-59 DIAMOND ST,"Gathers, Hank YAC",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=750,Pool,39.9872301738,-75.1746062059
19122.0,1101 W SUSQUEHANNA AVE,Penrose Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=810,Pool,39.9858455955,-75.1515409456
19134.0,2901 CEDAR ST,Cohocksink Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=726,Pool,39.9840750986,-75.1131388887
19121.0,1817-59 N 16TH ST,Amos Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=704,Pool,39.9816301895,-75.1604397038
19125.0,2600 ARAMINGO AVE,Cione Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=724,Pool,39.9805007526,-75.1184978222
