NAME,DISTRICT,ADDRESS,ZIPCODE,WEBSITE,LAT,LNG
Murphy,7,300 SHUNK ST,19148,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=801,39.9153095209,-75.15394032
48th & Woodland,8,4740 WOODLAND AVE,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=860,39.9418613209,-75.2103008365
East Poplar,6,800 N 08TH ST,19123,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=733,39.9668596293,-75.1512543166
Cruz,2,1400-52 N 05TH ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=729,39.9734297516,-75.145143071
Holmesburg,1,4500 RHAWN ST,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=763,40.0359976326,-75.027320547
Cione,2,2600 ARAMINGO AVE,19125,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=724,39.9804947352,-75.1184707702
Pleasant,4,6750 BOYER ST,19119,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=815,40.0573722241,-75.1820854647
Athletic,6,1401-55 N 27TH ST,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=707,39.9777795777,-75.1788404556
Happy Hollow,4,4740 WAYNE AVE,19144,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=757,40.023815791,-75.1664811175
Simpson,3,1010 ARROTT ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=835,40.0210230662,-75.0927975875
Monkiewicz,2,3201 RICHMOND ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=795,39.9825615899,-75.0993407676
Tustin,8,5901-29 W COLUMBIA AVE,19151,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=843,39.9819019459,-75.2404677046
Wharton Square,7,1300 S 23RD ST,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=851,39.9355442726,-75.1832335152
Belfield,4,2109 W CHEW AVE,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=712,40.04271617,-75.1564242001
Columbus Square,7,1200 WHARTON ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=727,39.9331643733,-75.164786909
Capitolo,7,900 FEDERAL ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=716,39.9338179252,-75.1598239895
Vare,7,2600 MORRIS ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=844,39.9313034447,-75.1893002671
Markward,7,400-16 S TANEY ST,19103,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=785,39.9480482159,-75.183352056
Mt Airy,4,7001 GERMANTOWN AVE,19119,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=799,40.057979755,-75.1878738338
Hillside,4,201 FOUNTAIN ST,19127,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=762,40.0334385528,-75.2296154962
Barry,7,1800 JOHNSTON ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=711,39.9158012195,-75.1789457354
McIlvain,2,5200 N PENN ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=791,40.0246295454,-75.0800063017
Dendy,6,1501-39 N 10TH ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=864,39.9755826439,-75.1508506489
Shissler,6,1800-56 BLAIR ST,19125,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=831,39.9778845332,-75.132266129
Sacks,7,400 WASHINGTON AVE,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=883,39.9339014616,-75.1517382651
Gathers,6,2501-59 DIAMOND ST,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=750,39.9876831242,-75.1749731503
Mallery,4,100-70 E JOHNSON ST,19144,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=782,40.0480217026,-75.1792062681
Emanuel,4,8500 PICKERING AVE,19150,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=735,40.0815792682,-75.175923582
Francisville,6,1737-39 FRANCIS ST,19130,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=746,39.9684558835,-75.1672466963
Shuler,6,2901 N 29TH ST,19132,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=833,40.0022451618,-75.1750504435
Anderson,7,740 S 17TH ST,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=706,39.9420163154,-75.1716360685
Disston,2,4423 LONGSHORE AVE,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=731,40.028411015,-75.044365256
Feltonville,3,231-37 E WYOMING AVE,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=736,40.021951103,-75.1208429085
Palumbo,7,700 S 09TH ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=808,39.9413537101,-75.1581431799
Christy,8,728 S 55TH ST,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=722,39.9487068739,-75.234375368
Cibotti,8,2500 S 77TH ST,19153,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=723,39.9084220823,-75.2489724587
Lower Mayfair,2,3001 ROBBINS ST,19149,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=780,40.0293681204,-75.061044267
Heitzman,2,2136 CASTOR AVE,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=760,39.9977600156,-75.0983661556
Chew,7,1800 WASHINGTON AVE,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=721,39.9382425886,-75.1740189741
D. Finnegan,7,1231 S 30TH ST,19146,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=738,39.9380026552,-75.1928086865
Mill Creek,8,743-81 N 48TH ST,19139,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=793,39.9658280875,-75.215972373
Miles Mack,8,732-66 N 36TH ST,19104,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=787,39.9676244417,-75.195848631
Clemente,6,1800 WALLACE ST,19130,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=725,39.9656662903,-75.1681026214
Conestoga,8,5200-300 MEDIA ST,19131,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=728,39.9753146267,-75.2274909728
Samuel,2,2501 E TIOGA ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=825,39.9906374821,-75.09715114
Dorsey,2,6501 HEGERMAN ST,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=732,40.0216234019,-75.0481003636
12th & Cambria,3,1149 W CAMBRIA ST,19133,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=859,39.9968161856,-75.1492167019
Starr Garden,7,600-44 LOMBARD ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=837,39.9427927923,-75.1529851788
Guerin,7,2201 S 16TH ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=754,39.9228917359,-75.1729381361
DiSilvestro,7,1700 S BROAD ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=730,39.9290811188,-75.1695811491
Penrose,6,1101 W SUSQUEHANNA AVE,19133,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=810,39.9860301857,-75.1516325281
Seger,7,1000-42 LOMBARD ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=829,39.9436100837,-75.1592686229
Hancock,2,147 MASTER ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=756,39.9728690502,-75.1373617241
Towey,6,1832-50 N HOWARD ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=842,39.9784328946,-75.1351283099
Fishtown,2,1202-32 E MONTGOMERY AVE,19125,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=741,39.9717730132,-75.1280217575
Shot Tower,7,101-31 CARPENTER ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=832,39.9349314764,-75.1459875966
Amos,6,1817-59 N 16TH ST,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=704,39.9816310989,-75.1603058301
Hawthorne,7,1200 CARPENTER ST,19147,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=758,39.9384476547,-75.1634641079
Baker,8,5431-43 LANSDOWNE AVE,19131,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=709,39.9773644686,-75.2311984218
8th & Diamond,6,2032-62 N 08TH ST,19122,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=858,39.9831246241,-75.1474761062
Nelson,6,2500-34 N 03RD ST,19133,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=804,39.9890646451,-75.1381957461
Northern Liberties,2,313-27 FAIRMOUNT AVE,19123,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=805,39.962767986,-75.1435903879
Glavin,2,3267-81 ALMOND ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=751,39.9864595712,-75.101400775
